Country code,Country name,Region code,Region name,LAD code,LAD name,Property type: Houses,,,,,,Property type: Flats,,,,,,,Property type: Total,,,,
,,,,,,Address count,Adress with private outdoor space count,Private outdoor space total area (m2),Percentage of adresses with private outdoor space,Average size of private outdoor space (m2), Median size of private outdoor space (m2) ,Address count,Adress with private outdoor space count,Private outdoor space total area (m2),Private outdoor space count,Percentage of adresses with private outdoor space,Average size of private outdoor space (m2),Average number of flats sharing a garden,Address count,Adress with private outdoor space count,Private outdoor space total area (m2),Percentage of adresses with private outdoor space,Average size of private outdoor space (m2)
S92000003,Scotland,S15000001,Scotland,S12000033,Aberdeen City,53082,51390,14593876,0.97,284,204.3,65346,46221,2953183,9280,0.71,318.2,5,118428,97611,17547060,0.82,289.2
S92000003,Scotland,S15000001,Scotland,S12000034,Aberdeenshire,102121,96098,61829210,0.94,643.4,317.2,17178,12334,2469448,4736,0.72,521.4,2.6,119299,108432,64298658,0.91,637.7
E92000001,England,E12000008,South East,E07000223,Adur,21568,21269,5095973,0.99,239.6,203.9,6722,4054,265419,1027,0.6,258.4,3.9,28290,25323,5361392,0.9,240.5
E92000001,England,E12000002,North West,E07000026,Allerdale,41586,39191,14573753,0.94,371.9,201.8,5733,4161,800265,1900,0.73,421.2,2.2,47319,43352,15374018,0.92,374.1
E92000001,England,E12000004,East Midlands,E07000032,Amber Valley,53128,51014,16629607,0.96,326,215.4,4823,3205,573402,1402,0.67,409,2.3,57951,54219,17203008,0.94,328.2
S92000003,Scotland,S15000001,Scotland,S12000041,Angus,41994,39644,19363393,0.94,488.4,276.3,15294,10117,1271168,3652,0.66,348.1,2.8,57288,49761,20634561,0.87,476.6
S92000003,Scotland,S15000001,Scotland,S12000035,Argyll and Bute,32485,28533,22532053,0.88,789.7,408.1,16351,11153,2599397,3558,0.68,730.6,3.1,48836,39686,25131450,0.81,783.1
E92000001,England,E12000008,South East,E07000224,Arun,56624,55303,18317114,0.98,331.2,220.2,17784,13175,1413153,3757,0.74,376.1,3.5,74408,68478,19730267,0.92,334.1
E92000001,England,E12000004,East Midlands,E07000170,Ashfield,51152,49508,12434956,0.97,251.2,189.4,5041,3521,389857,1323,0.7,294.7,2.7,56193,53029,12824813,0.94,252.3
E92000001,England,E12000008,South East,E07000105,Ashford,46353,43508,24643470,0.94,566.4,213.5,9522,5980,1944464,2159,0.63,900.6,2.8,55875,49488,26587934,0.89,582.2
E92000001,England,E12000008,South East,E07000004,Aylesbury Vale,70578,65488,26881929,0.93,410.5,213.2,13690,8968,1737341,2872,0.66,604.9,3.1,84268,74456,28619270,0.88,418.7
E92000001,England,E12000006,East of England,E07000200,Babergh,36442,34852,21505027,0.96,617,275.7,4679,3628,1389997,1531,0.78,907.9,2.4,41121,38480,22895025,0.94,629.3
E92000001,England,E12000007,London,E09000002,Barking and Dagenham,51235,50808,8606729,0.99,169.4,123.9,24742,13403,692719,3566,0.54,194.3,3.8,75977,64211,9299448,0.85,171
E92000001,England,E12000007,London,E09000003,Barnet,77991,76600,23853988,0.98,311.4,201.8,75025,45773,2815939,11207,0.61,251.3,4.1,153016,122373,26669927,0.8,303.7
E92000001,England,E12000003,Yorkshire and The Humber,E08000016,Barnsley,102622,99764,23230044,0.97,232.8,178.5,10181,6586,847019,2726,0.65,310.7,2.4,112803,106350,24077063,0.94,234.9
E92000001,England,E12000002,North West,E07000027,Barrow-in-Furness,29825,28947,9626681,0.97,332.6,110.9,4012,2809,191918,1067,0.7,179.9,2.6,33837,31756,9818599,0.94,327.1
E92000001,England,E12000006,East of England,E07000066,Basildon,63053,61534,19051140,0.98,309.6,160.9,16580,10510,1168495,3506,0.63,333.3,3,79633,72044,20219636,0.91,310.9
E92000001,England,E12000008,South East,E07000084,Basingstoke and Deane,64144,62425,26216825,0.97,420,178.3,13713,9544,1257270,2364,0.7,531.8,4,77857,71969,27474095,0.92,424.1
E92000001,England,E12000004,East Midlands,E07000171,Bassetlaw,47639,46171,18010645,0.97,390.1,231.2,5513,4125,1153611,2083,0.75,553.8,2,53152,50296,19164256,0.95,397.2
E92000001,England,E12000009,South West,E06000022,Bath and North East Somerset,62183,59580,23229606,0.96,389.9,204,21743,15978,1774001,4561,0.74,389,3.5,83926,75558,25003608,0.9,389.8
E92000001,England,E12000006,East of England,E06000055,Bedford,61201,58236,19805831,0.95,340.1,182.4,15523,11480,1117244,2590,0.74,431.4,4.4,76724,69716,20923075,0.91,344
E92000001,England,E12000007,London,E09000004,Bexley,72815,71527,17158007,0.98,239.9,189,25855,15842,1053691,4294,0.61,245.4,3.7,98670,87369,18211698,0.89,240.2
E92000001,England,E12000005,West Midlands,E08000025,Birmingham,320659,316234,71740420,0.99,226.9,170.8,126778,68219,5412030,20504,0.54,263.9,3.3,447437,384453,77152450,0.86,229.1
E92000001,England,E12000004,East Midlands,E07000129,Blaby,40156,38082,11612056,0.95,304.9,218.4,3001,1818,255063,705,0.61,361.8,2.6,43157,39900,11867120,0.93,306
E92000001,England,E12000002,North West,E06000008,Blackburn with Darwen,53331,52107,8937794,0.98,171.5,113.9,8091,6023,476859,2445,0.74,195,2.5,61422,58130,9414653,0.95,172.6
E92000001,England,E12000002,North West,E06000009,Blackpool,52066,50707,7737207,0.97,152.6,126.2,20411,15331,742518,5818,0.75,127.6,2.6,72477,66038,8479725,0.91,150
W92000004,Wales,W08000001,Wales,W06000019,Blaenau Gwent,28565,27878,4916354,0.98,176.4,112.7,4613,3371,344004,1419,0.73,242.4,2.4,33178,31249,5260358,0.94,179.6
E92000001,England,E12000004,East Midlands,E07000033,Bolsover,34088,32829,9145778,0.96,278.6,200.5,2544,1683,255748,713,0.66,358.7,2.4,36632,34512,9401526,0.94,280.3
E92000001,England,E12000002,North West,E08000001,Bolton,105960,102482,18748395,0.97,182.9,140.1,20261,12872,1008857,4301,0.64,234.6,3,126221,115354,19757252,0.91,185
E92000001,England,E12000004,East Midlands,E07000136,Boston,26630,25827,11424904,0.97,442.4,266,4224,2969,529773,1098,0.7,482.5,2.7,30854,28796,11954677,0.93,444
E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",110456,108607,33386410,0.98,307.4,236.3,73114,53922,4996453,12911,0.74,387,4.2,183570,162529,38382863,0.89,315.9
E92000001,England,E12000008,South East,E06000036,Bracknell Forest,39767,38810,11765706,0.98,303.2,171.6,11200,6803,713471,1475,0.61,483.7,4.6,50967,45613,12479177,0.9,309.8
E92000001,England,E12000003,Yorkshire and The Humber,E08000032,Bradford,178663,168539,35453003,0.94,210.4,149.2,38413,20922,2003212,7793,0.55,257.1,2.7,217076,189461,37456215,0.87,212.4
E92000001,England,E12000006,East of England,E07000067,Braintree,55560,52843,24685579,0.95,467.1,213.7,10393,6564,1265595,2109,0.63,600.1,3.1,65953,59407,25951174,0.9,472.3
E92000001,England,E12000006,East of England,E07000143,Breckland,55963,53354,30299684,0.95,567.9,289.6,6616,4591,1798922,1888,0.69,952.8,2.4,62579,57945,32098606,0.93,581.1
E92000001,England,E12000007,London,E09000005,Brent,49963,49322,12537519,0.99,254.2,157.9,74510,52466,2659410,15106,0.7,176,3.5,124473,101788,15196929,0.82,235.9
E92000001,England,E12000006,East of England,E07000068,Brentwood,25461,24838,11963085,0.98,481.6,262,8709,5494,767606,1466,0.63,523.6,3.7,34170,30332,12730691,0.89,484
W92000004,Wales,W08000001,Wales,W06000013,Bridgend,57073,54978,12728129,0.96,231.5,174.7,6908,4975,571692,2106,0.72,271.5,2.4,63981,59953,13299821,0.94,233
E92000001,England,E12000008,South East,E06000043,Brighton and Hove,60455,59474,15892074,0.98,267.2,163.9,71958,55682,1889166,13101,0.77,144.2,4.3,132413,115156,17781240,0.87,245
E92000001,England,E12000009,South West,E06000023,"Bristol, City of",123634,121492,21700240,0.98,178.6,147.4,77510,47476,2646783,13140,0.61,201.4,3.6,201144,168968,24347023,0.84,180.8
E92000001,England,E12000006,East of England,E07000144,Broadland,52710,51565,24323206,0.98,471.7,297.6,6157,4811,1846412,1958,0.78,943,2.5,58867,56376,26169618,0.96,488.9
E92000001,England,E12000007,London,E09000006,Bromley,95145,93453,31185291,0.98,333.7,239.5,46321,27346,2275523,7606,0.59,299.2,3.6,141466,120799,33460814,0.85,331.1
E92000001,England,E12000005,West Midlands,E07000234,Bromsgrove,36624,35490,17176791,0.97,484,258.2,6128,3803,1071072,1371,0.62,781.2,2.8,42752,39293,18247863,0.92,495
E92000001,England,E12000006,East of England,E07000095,Broxbourne,29777,29349,6644143,0.99,226.4,159.2,11187,6503,471349,1622,0.58,290.6,4,40964,35852,7115492,0.88,229.7
E92000001,England,E12000004,East Midlands,E07000172,Broxtowe,44091,42985,12212250,0.98,284.1,205.5,6274,4120,375664,1309,0.66,287,3.1,50365,47105,12587914,0.94,284.2
E92000001,England,E12000002,North West,E07000117,Burnley,37018,36092,5512224,0.98,152.7,89.7,4684,2949,320554,1187,0.63,270.1,2.5,41702,39041,5832777,0.94,156.5
E92000001,England,E12000002,North West,E08000002,Bury,70813,69297,13117189,0.98,189.3,151.6,14252,10132,724588,3387,0.71,213.9,3,85065,79429,13841777,0.93,190.4
W92000004,Wales,W08000001,Wales,W06000018,Caerphilly,71927,69418,14696781,0.97,211.7,152.7,7829,5647,603898,2599,0.72,232.4,2.2,79756,75065,15300679,0.94,212.5
E92000001,England,E12000003,Yorkshire and The Humber,E08000033,Calderdale,77323,71253,17182318,0.92,241.1,136.3,17972,9844,1227988,3578,0.55,343.2,2.8,95295,81097,18410306,0.85,246
E92000001,England,E12000006,East of England,E07000008,Cambridge,34490,33429,7582420,0.97,226.8,155.3,23709,14007,1009851,3818,0.59,264.5,3.7,58199,47436,8592271,0.82,230.7
E92000001,England,E12000007,London,E09000007,Camden,12151,11214,1719218,0.92,153.3,75.9,108605,62443,2123139,12667,0.58,167.6,4.9,120756,73657,3842357,0.61,160.9
E92000001,England,E12000005,West Midlands,E07000192,Cannock Chase,38643,37954,9590980,0.98,252.7,197.9,5418,3756,379364,1326,0.69,286.1,2.8,44061,41710,9970344,0.95,253.8
E92000001,England,E12000008,South East,E07000106,Canterbury,50455,48152,18306569,0.95,380.2,228.7,15123,10422,1217386,3127,0.69,389.3,3.3,65578,58574,19523955,0.89,380.7
W92000004,Wales,W08000001,Wales,W06000015,Cardiff,109346,105992,21015955,0.97,198.3,157.7,47617,27138,1570256,8041,0.57,195.3,3.4,156963,133130,22586212,0.85,198.1
E92000001,England,E12000002,North West,E07000028,Carlisle,44753,43253,13909447,0.97,321.6,181.8,8365,6359,1200699,2646,0.76,453.8,2.4,53118,49612,15110146,0.93,329.2
W92000004,Wales,W08000001,Wales,W06000010,Carmarthenshire,78969,75143,37411793,0.95,497.9,270.2,9243,5755,1959943,2979,0.62,657.9,1.9,88212,80898,39371736,0.92,504
E92000001,England,E12000006,East of England,E07000069,Castle Point,33246,32617,46532625,0.98,1426.6,206.2,5240,3428,533217,1273,0.65,418.9,2.7,38486,36045,47065842,0.94,1388.8
E92000001,England,E12000006,East of England,E06000056,Central Bedfordshire,104960,99069,31516975,0.94,318.1,190.2,17053,10815,1474983,3313,0.63,445.2,3.3,122013,109884,32991958,0.9,322.2
W92000004,Wales,W08000001,Wales,W06000008,Ceredigion,29001,26916,18321240,0.93,680.7,393,6689,4615,1245449,2009,0.69,619.9,2.3,35690,31531,19566689,0.88,676.5
